trait,total_occurrence,unique_occurrence,uri,definition,comment
geographic distribution,160836,19206,http://eol.org/schema/terms/Present,This organism is known to be present in this location or region. Not exclusive; other regions may also be reported.,""
type specimen repository,51164,12976,http://eol.org/schema/terms/TypeSpecimenRepository,The institution that holds a type specimen for a given species.  The recommended best practice is to use the identifier in a collections registry such as the Biodiversity Collections Index (http://www.biodiversitycollectionsindex.org/).,""
plant growth form,44191,17253,http://purl.obolibrary.org/obo/FLOPO_0900032,"whole plant growth form. eg: herbaceous, tree, liana",""
habitat,26594,8513,http://purl.obolibrary.org/obo/RO_0002303,"x has habitat y if: x is an organism, y is a habitat, and y can sustain and allow the growth of a population of x",""
native range includes,23798,6421,http://eol.org/schema/terms/NativeRange,Lists jurisdictions in which a given organism is a member of the undisturbed fauna or flora.,""
introduced range includes,8700,1281,http://eol.org/schema/terms/IntroducedRange,Lists jurisdictions in which a given organism has been introduced recently.,""
plant lifeform,6300,5557,http://purl.obolibrary.org/obo/FLOPO_0900022,whole plant lifeform,""
life cycle habit,6228,4353,http://purl.obolibrary.org/obo/TO_0002725,"Determined for type of life cycle being annual, binneal, perennial etc.","The life cycle habit indicates the typical duration of an individual plant's life.  Common values are annual, biennial, and perennial.  Some plants have different durations depending on environment or location, so a plant can have more than one value."
is a component of,5876,1688,http://purl.allotrope.org/ontologies/property#AFX_0000939,A physical object that is a component of a physical system.,""
endemic to,5327,2558,http://eol.org/terms/endemic,This organism is known to be endemic to this location or region,""
habitat,4925,2542,http://rs.tdwg.org/dwc/terms/habitat,A category or description of the habitat in which the Event occurred.,"Example: ""oak savanna"", ""pre-cordilleran steppe"""
plant propagation method,4212,464,http://eol.org/schema/terms/PropagationMethod,Methods used to produce new plants from a parent plant.,""
trophic guild,3437,3430,http://eol.org/schema/terms/TrophicGuild,"A group of species that exploit the same food resources, and/or use the same feeding or foraging methods. http://en.wikipedia.org/wiki/Guild_(ecology)",""
leaf morphology,3318,3301,http://purl.obolibrary.org/obo/FLOPO_0019932,"",""
woodiness,3311,3294,http://top-thesaurus.org/annotationInfo?viz=1&trait=Woodiness,"a feature of the whole plant, defining the occurrence and distribution of wood (secondary xylem) along the stem",""
leaf complexity,3305,3288,http://purl.obolibrary.org/obo/FLOPO_0007484,whether a leaf is intricate or compounded,""
seed dry mass,2535,2336,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_dry_mass,"the mass of a seed, assessed after drying",""
vegetative plant height,2348,2225,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Plant_height_vegetative,the plant height considering the highest vegetative component,""
conservation status,1934,1904,http://rs.tdwg.org/ontology/voc/SPMInfoItems#ConservationStatus,degree of conservation concern as assessed by a government agency or other recognized authority such as IUCN or CITES,""
horticulture,1872,464,http://sweet.jpl.nasa.gov/2.3/humanAgriculture.owl#Horticulture,Horticulture is the art and science of the cultivation of plants,""
ecoregion,1822,1376,https://www.wikidata.org/entity/Q295469,ecologically and geographically defined area that is smaller than a biogeographic realm,""
photosynthetic pathway,1743,1717,http://eol.org/schema/terms/photosyntheticPathway,"the biochemical pathway a plant uses to gain carbon for growth and reproduction. Plants have evolved three photosynthetic pathways, each in response to distinct environmental conditions, resulting in differences in their ecological patterns of growth and distribution.",https://www.nature.com/scitable/knowledge/library/the-ecology-of-photosynthetic-pathways-15785165
population trend,1673,1657,http://eol.org/schema/terms/population_trend,"i.e., increasing, decreasing, stable, or unknown",""
cultivated in,1525,13,https://eol.org/schema/terms/cultivated_in,This organism is cultivated (populations grown with the aid of human effort or technology) in the following region(s),""
soil requirements,1404,464,http://eol.org/schema/terms/SoilRequirements,"The soil requirements (texture, moisture, chemistry) needed for a plant to establish and grow.",""
plant height,1131,495,http://purl.obolibrary.org/obo/TO_0000207,A stature and vigor trait (TO:0000133) which is associated with the height of a whole plant (PO:0000003).,""
soil ph,935,464,http://eol.org/schema/terms/SoilPH,"The soil pH, of the top 12 inches of soil, within the plant’s known geographical range. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.",""
precipitation tolerance,934,463,http://eol.org/schema/terms/PrecipitationTolerance,"Minimum tolerable rainfall (in inches), expressed as the average annual minimum precipitation that occurs 20% of the time (i.e., the probability of it being this dry in any given year is 20%) at the driest climate station within the known geographical range of the plant. geographical range of the plant. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.","Minimum precipitation tolerance: Minimum tolerable rainfall, expressed as the average annual minimum precipitation that occurs 20% of the time (i.e., the probability of it being this dry in any given year is 20%) at the driest climate station within the known geographical range of the plant.  Maximum precipitation tolerance: Maximum tolerable rainfall, expressed as the annual average precipitation of the wettest climate station within the known geographical range of the plant. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted."
leaf area,881,31,http://purl.obolibrary.org/obo/TO_0000540,A leaf anatomy and morphology trait (TO:0000748) which is associated with the total area of a leaf (PO:0025034).,""
leaf nitrogen per dry mass,809,758,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_dry_mass,"The ratio of the quantity of nitrogen in the leaf or component thereof, i.e. leaf lamina or leaflet, per respective unit dry mass",""
number of public records in bold,762,750,http://eol.org/schema/terms/NumberPublicRecordsInBOLD,number of records in this clade in the Barcode Of Life Database (BOLD),""
primary growth form,725,631,http://eol.org/schema/terms/PrimaryGrowthForm,The primary growth form on the landscape in relation to soil stabilization on slopes and streamsides. Each plant species is assigned the single growth form that most enhances its ability to stabilize soil.,""
used for,673,276,http://eol.org/schema/terms/Uses,The uses of the organism or products derived from the organism.,""
leaf lamina area,660,627,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaflet_lamina_area,the area of the leaflet lamina in the one sided projection,""
optimal growth pH,588,275,http://eol.org/schema/terms/OptimalGrowthpH,"The pH of a medium (water column, soil moisture) at which the growth rate of an organism is typically optimized",
optimal rainfall,588,275,https://eol.org/schema/terms/optimal_rainfall,rainfall required for survival and growth,""
optimal growth temperature,588,275,http://eol.org/schema/terms/OptimalGrowthTemperature,Optimal temperature conditions for cell division,""
