trait,total_occurrence,unique_occurrence,uri,definition,comment
specific leaf area,577,10,http://www.nucleodiversus.org/index.php?mod=caracter&id=17,"the one-sided area of a fresh leaf, divided by its oven-dry mass",""
planting density,566,283,http://eol.org/schema/terms/PlantingDensity,Recommended minimum number of individual plants to plant per area.,""
leaf mass per area,497,476,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_mass_per_area,the ratio of the dry mass of a leaf to its area,
grain type,468,464,http://eol.org/schema/terms/GrainType,The grain crop classification of a plant.,""
fruit/seed persistence,468,464,http://eol.org/schema/terms/FruitPersistence,Are the fruit or seed generally recognized as being persistent on the plant?,""
shade tolerance,468,464,http://eol.org/schema/terms/ShadeTolerance,The relative tolerance of the plant to shade conditions,""
hedge tolerance,468,464,http://eol.org/schema/terms/HedgeTolerance,"The relative tolerance of woody perennials to hedging (close cropping) by livestock or wildlife. Herbaceous plants are scored ""None” here by default.",""
frost free days,468,464,http://eol.org/schema/terms/FrostFreeDays,"The average number of frost-free days within the plant’s known geographical range. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.",""
drought tolerance,468,464,http://purl.obolibrary.org/obo/TO_0000276,Becoming tolerant to drought like conditions of minimal or no water content in the growth environment,""
germination requirements,468,464,http://eol.org/schema/terms/GerminationRequirements,The environmental requirements needed for the plant to germinate.,""
anaerobic soil tolerance,468,464,http://eol.org/schema/terms/AnaerobicSoilTolerance,The relative tolerance of the plant to anaerobic soil conditions.,""
resprout ability after clipping,468,464,http://eol.org/schema/terms/ResproutAbility,The ability of woody perennials to resprout following top (above ground biomass) removal.,""
shape,468,464,http://purl.obolibrary.org/obo/PATO_0000052,"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc).","Shapes are invariant on size transformations. Shapes can be subdivided into 2D and 3D shapes, We can also make a distinction between shapes of complete self-connected objects, and shapes of parts of objects. "
grass growth type,468,464,http://eol.org/schema/terms/GrassGrowthType,The distance of the growing point (terminal meristem) of the vegetative grass tiller to the crown.,""
shedability,468,464,http://purl.obolibrary.org/obo/PATO_0001729,An organismal quality inhering in a bearer by virtue of the bearer's disposition to lose an entitity by natural process.,"e.g., leaf abscission in trees and shrubs, replacement of the first dentition in mammals"
allelopathic effect,468,464,http://purl.obolibrary.org/obo/TO_0000624,"This is an assay of any direct or indirect, harmful or beneficial effect of one plant on another through the production of chemical compounds (allelochemicals) that escape in the environment.",""
fire resistance,468,464,http://eol.org/schema/terms/FireResistance,The ability of an organism to resist burning.,"If a plant can carry a fire—and most can—it is scored as ""not fire resistant"" in the USDA PLANTS database where this characteristic is evaluated with reference to problem fires in California.  http://plants.usda.gov/charinfo.html"
livestock bloat potential,468,464,http://eol.org/schema/terms/BloatPotential,The relative potential of an herbaceous plant to cause bloat in livestock. ,"USDA Plants database score woody plants as ""None” by default."
low temperature tolerance,467,463,http://eol.org/schema/terms/TemperatureTolerance,"The minimum tolerable temperature is the lowest temperature recorded in the plant’s historical range. If this is not available, the record low January temperature recorded at climate stations within the current geographical range of the plant is used. This definition does not apply to summer annuals.",""
soil depth,467,463,http://eol.org/schema/terms/SoilDepth,The minimum depth of soil required for good growth. Plants that do not have roots such as rootless aquatic plants (floating or submerged) and epiphytes are assigned a minimum root depth value of zero.,""
primary macronutrient requirements,467,463,http://eol.org/schema/terms/PrimaryMacronutrientRequirements,"The relative level of nutrition (N, P, K) required by a plant for normal growth and development.",""
human/livestock toxicity,467,463,http://eol.org/schema/terms/HumanLivestockToxicity,The relative toxicity of an organism to either humans or livestock.,""
active growth period,465,461,http://eol.org/schema/terms/ActiveGrowthPeriod,The growing season of a plant.  The time of year when a plant has its most active growth.,""
growth rate,464,460,http://purl.bioontology.org/ontology/SNOMEDCT/260865002,The rate of increase in the size of an organism per unit time.,Replace with GO:growth and PATO:rate once it is available through BATTO.
foliage porosity winter,463,459,http://eol.org/schema/terms/FoliagePorosityWinter,Indicates the porosity (coverage) of the foliage during the winter months.  Foliage porosity is an important factor when trees or shrubs are used as windbreaks for the protection of crops and livestock shelters. Denser (or less porous) foliage allows more wind to pass through.,""
foliage porosity summer,463,459,http://eol.org/schema/terms/FoliagePorositySummer,Indicates the porosity (coverage) of the foliage during the summer months.  Foliage porosity is an important factor when trees or shrubs are used as windbreaks for the protection of crops and livestock shelters. Denser (or less porous) foliage allows more wind to pass through.,""
fire tolerance,461,457,http://eol.org/schema/terms/FireTolerance,"The relative ability of a plant to resprout, regrow, or reestablish from residual seed after a fire. ",""
vegetative spread rate,460,456,http://eol.org/schema/terms/VegetativeSpreadRate,The rate at which this plant can spread compared to other species with the same growth habit.,""
salt tolerance,460,456,http://purl.obolibrary.org/obo/TO_0006001,Tolerance to the high salt content in the growth medium.,"In the USDA PLANTS database, tolerance to a soil salinity level is defined as only a slight reduction (not greater than 10%) in plant growth. "
seedling survival,459,455,http://eol.org/schema/terms/SeedlingSurvival,The expected seedling survival percentage of the plant compared to other species with the same growth habit.,""
commercial availability,459,455,http://eol.org/schema/terms/CommercialAvailability,The availability of plant propagules in the commercial marketplace.,""
foliage texture,459,455,http://eol.org/schema/terms/FoliageTexture,"The general texture of the plant’s foliage relative to other species with the same growth habit, e.g., fine/smooth, medium, coarse/rough.",""
leaf color,459,455,http://purl.obolibrary.org/obo/TO_0000326,A vascular leaf anatomy and morphology trait (TO:0000748) which is associated with the color of leaf (PO:0025034).,""
moisture use,457,453,http://eol.org/schema/terms/MoistureUse,"Ability to use (i.e., remove) available soil moisture relative to other species in the same (or similar) soil moisture availability region.",""
seed spread rate,456,452,http://eol.org/schema/terms/SeedSpreadRate,The capability of the plant to spread through its seed production compared to other species with the same growth habit.,""
calcareous soil tolerance,456,452,http://eol.org/schema/terms/CalcareousSoilTolerance,The relative tolerance of the plant to calcareous soil. Calcareous soil is defined as soil containing sufficient free CaCO3 and other carbonates to effervesce visibly or audibly when treated with cold 0.1M HCl. These soils usually contain from 10 to almost 1000g/kg CaCO3 equivalent.,""
bloom period,455,451,http://eol.org/schema/terms/BloomPeriod,The seasonal period in the U.S. during which the plant blooms the most. The bloom period is defined as the time when pollen is shed and stigmas are receptive.,""
fruit or seed color,453,449,http://eol.org/schema/terms/FruitSeedColor,The predominant and conspicuous color of the mature fruit or seed from a landscaping aesthetics standpoint.,""
seed period begin,451,447,http://eol.org/schema/terms/SeedPeriodBegin,Season in which the earliest fruit or seed of the fruit/seed period is visually obvious.,""
fruit/seed abundance,451,447,http://eol.org/schema/terms/SeedAbundance,The amount of seed produced by the plant compared to other species with the same growth habit.,""
seed period end,450,446,http://eol.org/schema/terms/SeedPeriodEnd,Season in which the latest fruit or seed of the fruit/seed period is visually obvious.,""
flower color,450,446,http://purl.obolibrary.org/obo/TO_0000537,A flower anatomy and morphology trait (TO:0000499) which is associated with the color of the flower (PO:0009046). ,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts.  "
after harvest regrowth rate,433,429,http://eol.org/schema/terms/AfterHarvestRegrowthRate,Indicates the relative rate of regrowth of a herbaceous plant after a harvest of above ground herbage.,""
graze animal palatability,432,429,http://eol.org/schema/terms/GrazeAnimalPalatability,The relative palatability of a plant to grazing animals.,""
life span,431,427,http://purl.obolibrary.org/obo/PATO_0000050,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.,"
Ontology Description: http://obofoundry.org/wiki/index.php/PATO:Main_Page
Ontology Source: http://purl.obolibrary.org/obo/pato.owl"
carbon-to-nitrogen ratio,410,407,http://eol.org/schema/terms/CNRatio,The percentage of organic carbon divided by the percentage of total nitrogen in organic material. ,""
leaf sheddability,404,391,http://purl.obolibrary.org/obo/FLOPO_0008548,A plant's disposition to lose leaves by a natural process,""
browse animal palatability,388,385,http://eol.org/schema/terms/BrowseAnimalPalatability,The relative palatability of the plant to browsing animals.,""
protein potential,351,349,http://eol.org/schema/terms/ProteinPotential,The relative protein content of the plant parts that are grazed or browsed by animals.,""
wet mass,314,22,http://eol.org/schema/terms/wetMass,"",""
dry mass,314,22,http://eol.org/schema/terms/dryMass,"",""
rooting depth,309,287,http://purl.obolibrary.org/obo/TO_0000519,It is calculated from the deepest soil layer where roots were present and the longest root measured in the layer.,""
latitude,308,151,http://rs.tdwg.org/dwc/terms/decimalLatitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.","Example: ""-41.0983423"""
longitude,308,151,http://rs.tdwg.org/dwc/terms/decimalLongitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.","Example: ""-121.1761111"""
seeds per pound,298,294,http://eol.org/schema/terms/SeedPerPound,The number of seeds per pound in an average seed lot.,""
resprout ability after fire,211,86,http://eol.org/schema/terms/RespFire,Resprouting ability one year after being ca. 100% scorched or burned by fire. ,""
post-fire seedling emergence,185,80,http://eol.org/schema/terms/PostFireSeedlingEmergence,Seedling density per pre-fire mature individuals emerging during the first year after fire (seedlings/mature).,""
planthabit,175,175,http://eol.org/schema/terms/PlantHabit,"general growth form, including size and branching. Some plants have different growth habits depending on environment or location",Auto-added during harvest #1409. A human needs to edit this.
water depth,174,89,http://rs.tdwg.org/dwc/terms/verbatimDepth,The depth of seawater at a location where this organism has been observed or collected.,""
parasitize,139,74,http://purl.obolibrary.org/obo/RO_0002444,"",""
are dispersed by,93,47,http://eol.org/schema/terms/HasDispersalVector,"which agent of biological dispersal moves a dispersal unit, or organism, away from its birth population to another location or population in which the individual will reproduce.",""
are pathogens of,74,5,http://purl.obolibrary.org/obo/RO_0002556,"",""
sexual system,70,70,http://eol.org/schema/terms/SexualSystem,"The organization of the system of organs involved with sexual reproduction, e.g., hermaphroditism, monoecy, dioecy/gonochory, gynodioecy, androdioecy, gynomonoecy, andromonoecy, polygamodioecy, polygamomonoecy, apomixis, etc.",""
have host,59,14,http://purl.obolibrary.org/obo/RO_0002454,"",""
invasive in,57,53,http://eol.org/schema/terms/InvasiveRange,Information about the jurisdictions where the taxon is considered to be an invasive organism due to its negative impact on human welfare or ecosystems.,""
stem specific density,57,57,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_specific_density,"the ratio of the mass of the stem or an unit thereof assessed after drying, to its volume assessed without drying",""
seed bank is long,43,33,http://eol.org/schema/terms/SeedBankLong,"",Auto-added during harvest #140. A human needs to edit this.
seed mass,31,27,http://purl.obolibrary.org/obo/FLOPO_0015519,"",""
threatened or endangered status,30,30,http://eol.org/schema/terms/ThreatenedEndangeredStatus,Indicates whether a taxon is listed on a global or regional list of threatened or endangered organisms.,""
visit flowers of,21,2,http://purl.obolibrary.org/obo/RO_0002622,"",""
propagule,21,14,http://eol.org/schema/terms/Propagule,The dispersal unit for sexual regeneration.,""
fruit type,21,14,http://purl.obolibrary.org/obo/TO_0000850,A fruit anatomy and morphology trait (TO:0002629) which is associated with the type of a fruit (PO:0009001). ,""
leaf shape,16,12,http://purl.obolibrary.org/obo/TO_0000492,A leaf anatomy and morphology trait (TO:0000748) which is associated with the variation in shapes and forms of a leaf (PO:0025034). ,""
number of references in bhl,14,14,http://eol.org/schema/terms/NumberReferencesInBHL,number of references to taxa in this clade in the Biodiversity Heritage Library,""
records in bold?,14,14,http://eol.org/schema/terms/RecordInBOLD,this clade is represented by geo-referenced data in the Barcode of Life Database (BOLD),""
specimens in ggbn?,14,14,http://eol.org/schema/terms/SpecimensInGGBN,this clade is represented by specimens in the Global Genome Biodiversity Network (GGBN),""
references in bhl?,14,14,http://eol.org/schema/terms/ReferenceInBHL,this clade is represented in the literature in the Biodiversity Heritage Library (BHL),""
number of dna records in ggbn,14,14,http://eol.org/schema/terms/NumberDNARecordsInGGBN,number of DNA records in this clade in the Global Genome Biodiversity Network (GGBN) repository of genome quality tissues,""
records in gbif?,14,14,http://eol.org/schema/terms/RecordInGBIF,this clade is represented by geo-referenced data in the Global Biodiversity Information Facility (GBIF),""
number of records in bold,14,14,http://eol.org/schema/terms/NumberRecordsInBOLD,number of records for taxa in this clade in the Barcode of Life Database (BOLD),""
number of sequences in genbank,14,14,http://eol.org/schema/terms/NumberOfSequencesInGenBank,number of sequences for taxa in this clade in GenBank,""
number of specimens in ggbn,14,14,http://eol.org/schema/terms/NumberSpecimensInGGBN,number of records in this clade in the Global Genome Biodiversity Network (GGBN) repository of genome quality tissues.,""
number of records in gbif,14,14,http://eol.org/schema/terms/NumberRecordsInGBIF,number of records for taxa in this clade in the Global Biodiversity Information Facility (GBIF) ,""
sequences in genbank?,14,14,http://eol.org/schema/terms/SequenceInGenBank,this clade is represented by gene sequences in GenBank,""
ecomorphological guild,12,7,http://eol.org/schema/terms/EcomorphologicalGuild,organisms that share certain morphological traits due to adaptation to similar environments and ecological roles,""
extinction status,11,11,http://eol.org/schema/terms/ExtinctionStatus,Indicates whether a taxon is extant (living today) or extinct.,""
age at maturity,11,8,http://eol.org/schema/terms/AgeAtMaturity,Age at the first successful reproduction.,""
leaf size class,11,9,http://purl.obolibrary.org/obo/FLOPO_0003958,"",""
motility,10,10,http://www.wikidata.org/entity/Q33596,"ability to move spontaneously and actively, consuming energy in the process",""
first appearance,10,5,http://eol.org/schema/terms/FossilFirst,The first appearance of this taxon in the fossil record.,""
last appearance,10,5,http://eol.org/schema/terms/FossilLast,The last appearance of this taxon in the fossil record.,""
seed bank,9,9,http://eol.org/schema/terms/SeedBank,Location of persistent seed bank (longevity > 1 yr).,""
bud source,9,3,http://eol.org/schema/terms/BudSource,Location of bud bank for resprouting. ,""
reproduction,9,9,http://purl.obolibrary.org/obo/GO_0000003,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms,""
number of fossil occurrences,5,5,http://eol.org/schema/terms/fossilOccPBDB,The number of fossil occurrences in the Paleobiology Database (https://paleobiodb.org) that are identified as belonging to a particular taxon or any of its subtaxa.,""
water silicate concentration,4,2,http://eol.org/schema/terms/DissolvedSilicate,Dissolved silicate concentration in seawater at a location where this organism has been observed or collected.,""
water dissolved o2 concentration,4,2,http://eol.org/schema/terms/DissolvedOxygen,Dissolved oxygen concentration in seawater at a location where this organism has been observed or collected.,""
water temperature,4,2,http://eol.org/schema/terms/WaterTemperature,"temperature of water in marine or aquatic habitat, at a location where this organism has been observed or collected.",""
water nitrate concentration,4,2,http://eol.org/schema/terms/DissolvedNitrate,Dissolved nitrate concentration in seawater at a location where this organism has been observed or collected.,""
water o2 saturation,4,2,http://eol.org/schema/terms/OxygenSaturation,The percent oxygen saturation in seawater at a location where this organism has been observed or collected.,O2 saturation: http://omp.gso.uri.edu/ompweb/doee/science/physical/choxy1.htm
water phosphate concentration,4,2,http://eol.org/schema/terms/DissolvedPhosphate,Dissolved phosphate concentration in seawater at a location where this organism has been observed or collected.,""
water salinity,4,2,http://eol.org/schema/terms/Salinity,Dissolved salt concentration in seawater at a location where this organism has been observed or collected.,""
produces,4,4,http://purl.obolibrary.org/obo/RO_0003000,"This organism produces this material or substance, either during its life or after death. A produces B if some process that occurs in A has output B.",""
are mutualistic with,4,1,http://purl.obolibrary.org/obo/RO_0002442,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other,""
eat,3,3,http://purl.obolibrary.org/obo/RO_0002470,"",""
prey on,3,1,http://purl.obolibrary.org/obo/RO_0002439,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members",""
trophic level,2,2,http://www.wikidata.org/entity/Q1053008,"position of an organism in a food web. May be described verbally with descriptors including primary producer, herbivore or carnivore. If described numerically, 1 indicates a primary producer, 2 a herbivore, and so on up the food web.",""
resprout ability after disturbance,2,2,http://eol.org/schema/terms/RespDist,Resprouting ability after an undefined disturbance that removed most of the aboveground biomass.,""
toxic effect,2,2,http://eol.org/schema/terms/ToxicEffect,A toxic effect has been observed in other organisms after consuming or contacting this organism,""
visit,2,1,http://purl.obolibrary.org/obo/RO_0002618,"",""
semi-aquatic,1,1,https://www.wikidata.org/entity/Q30715289,"",""
skeleton contains,1,1,http://purl.obolibrary.org/obo/OBA_1000106,The composition of a skeletal tissue.,""
skeletal reinforcement,1,1,http://eol.org/schema/terms/SkeletalReinforcement,"The nature of structural reinforcements of shells, leaves, scutes, or carapaces. Smooth shells and carapaces lack reinforcements.",""
nitrogen fixation,1,1,http://purl.obolibrary.org/obo/GO_0009399,"The process in which nitrogen is taken from its relatively inert molecular form (N2) in the atmosphere and converted into nitrogen compounds useful for other chemical processes, such as ammonia, nitrate and nitrogen dioxide. ",""
are symbionts of,1,1,http://purl.obolibrary.org/obo/RO_0002440,The smaller partner living in close association with,""
locomotion,1,1,http://purl.obolibrary.org/obo/GO_0040011,Self-propelled movement of a cell or organism from one location to another. ,""
