trait,total_occurrence,unique_occurrence,uri,definition,comment
geographic distribution,87708,9278,http://eol.org/schema/terms/Present,This organism is known to be present in this location or region. Not exclusive; other regions may also be reported.,""
type specimen repository,31134,7202,http://eol.org/schema/terms/TypeSpecimenRepository,The institution that holds a type specimen for a given species.  The recommended best practice is to use the identifier in a collections registry such as the Biodiversity Collections Index (http://www.biodiversitycollectionsindex.org/).,""
plant growth form,30841,11206,http://purl.obolibrary.org/obo/FLOPO_0900032,"whole plant growth form. eg: herbaceous, tree, liana",""
habitat,14084,3842,http://purl.obolibrary.org/obo/RO_0002303,"x has habitat y if: x is an organism, y is a habitat, and y can sustain and allow the growth of a population of x",""
native range includes,11309,2321,http://eol.org/schema/terms/NativeRange,Lists jurisdictions in which a given organism is a member of the undisturbed fauna or flora.,""
introduced range includes,7569,971,http://eol.org/schema/terms/IntroducedRange,Lists jurisdictions in which a given organism has been introduced recently.,""
type status,6005,3007,http://rs.tdwg.org/dwc/terms/typeStatus,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.","The recommended best practice is to separate the values with a vertical bar (' | '). Examples: ""holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""holotype of Pinus abies | holotype of Picea abies"". For discussion see http://terms.tdwg.org/wiki/dwc:typeStatus"
record number,5880,3002,http://rs.tdwg.org/dwc/terms/recordNumber,"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number","Example: ""OPP 7101"". For discussion see http://terms.tdwg.org/wiki/dwc:recordNumber"
institution ID,5872,3006,http://rs.tdwg.org/dwc/terms/institutionID,An identifier for the institution having custody of the object(s) or information referred to in the record.,
collection ID,5872,3000,http://rs.tdwg.org/dwc/terms/collectionID,An identifier for the collection or dataset from which the record was derived.,
country,5867,3006,http://rs.tdwg.org/dwc/terms/country,The name of the country or major administrative unit in which the Location occurs.,
higher geography,5859,3002,http://rs.tdwg.org/dwc/terms/higherGeography,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.,
continent,5844,2995,http://rs.tdwg.org/dwc/terms/continent,The name of the continent in which the Location occurs.,
associated media,5681,2934,http://rs.tdwg.org/dwc/terms/associatedMedia,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.",
verbatim event date,5224,2791,http://rs.tdwg.org/dwc/terms/verbatimEventDate,The verbatim original representation of the date and time information for an Event.,
is a component of,3999,1058,http://purl.allotrope.org/ontologies/property#AFX_0000939,A physical object that is a component of a physical system.,""
state or province,3943,2122,http://rs.tdwg.org/dwc/terms/stateProvince,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",
life cycle habit,3753,2507,http://purl.obolibrary.org/obo/TO_0002725,"Determined for type of life cycle being annual, binneal, perennial etc.","The life cycle habit indicates the typical duration of an individual plant's life.  Common values are annual, biennial, and perennial.  Some plants have different durations depending on environment or location, so a plant can have more than one value."
year,3717,2141,http://rs.tdwg.org/dwc/terms/year,"The four-digit year in which the Event occurred, according to the Common Era Calendar","Example: ""2008"". For discussion see http://terms.tdwg.org/wiki/dwc:year"
month,2908,1727,http://rs.tdwg.org/dwc/terms/month,The integer month in which the Event occurred.,
