trait,total_occurrence,unique_occurrence,uri,definition,comment
end day of year,2867,1695,http://rs.tdwg.org/dwc/terms/endDayOfYear,"	The latest integer day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",
start day of year,2866,1691,http://rs.tdwg.org/dwc/terms/startDayOfYear,"The earliest integer day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",
plant propagation method,2664,292,http://eol.org/schema/terms/PropagationMethod,Methods used to produce new plants from a parent plant.,""
plant lifeform,2356,2345,http://purl.obolibrary.org/obo/FLOPO_0900022,whole plant lifeform,""
trophic guild,2302,2298,http://eol.org/schema/terms/TrophicGuild,"A group of species that exploit the same food resources, and/or use the same feeding or foraging methods. http://en.wikipedia.org/wiki/Guild_(ecology)",""
day,2204,1322,http://rs.tdwg.org/dwc/terms/day,The integer day of the month on which the Event occurred.,
leaf morphology,2179,2165,http://purl.obolibrary.org/obo/FLOPO_0019932,"",""
leaf complexity,2170,2156,http://purl.obolibrary.org/obo/FLOPO_0007484,whether a leaf is intricate or compounded,""
woodiness,2154,2140,http://top-thesaurus.org/annotationInfo?viz=1&trait=Woodiness,"a feature of the whole plant, defining the occurrence and distribution of wood (secondary xylem) along the stem",""
vegetative plant height,1764,1657,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Plant_height_vegetative,the plant height considering the highest vegetative component,""
seed dry mass,1590,1419,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_dry_mass,"the mass of a seed, assessed after drying",""
habitat,1495,877,http://rs.tdwg.org/dwc/terms/habitat,A category or description of the habitat in which the Event occurred.,"Example: ""oak savanna"", ""pre-cordilleran steppe"""
cultivated in,1408,12,https://eol.org/schema/terms/cultivated_in,This organism is cultivated (populations grown with the aid of human effort or technology) in the following region(s),""
endemic to,1361,480,http://eol.org/terms/endemic,This organism is known to be endemic to this location or region,""
photosynthetic pathway,1204,1180,http://eol.org/schema/terms/photosyntheticPathway,"the biochemical pathway a plant uses to gain carbon for growth and reproduction. Plants have evolved three photosynthetic pathways, each in response to distinct environmental conditions, resulting in differences in their ecological patterns of growth and distribution.",https://www.nature.com/scitable/knowledge/library/the-ecology-of-photosynthetic-pathways-15785165
horticulture,1184,292,http://sweet.jpl.nasa.gov/2.3/humanAgriculture.owl#Horticulture,Horticulture is the art and science of the cultivation of plants,""
minimum elevation in meters,1024,698,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",
plant height,949,321,http://purl.obolibrary.org/obo/TO_0000207,A stature and vigor trait (TO:0000133) which is associated with the height of a whole plant (PO:0000003).,""
soil requirements,888,292,http://eol.org/schema/terms/SoilRequirements,"The soil requirements (texture, moisture, chemistry) needed for a plant to establish and grow.",""
ecoregion,886,620,https://www.wikidata.org/entity/Q295469,ecologically and geographically defined area that is smaller than a biogeographic realm,""
leaf area,870,28,http://purl.obolibrary.org/obo/TO_0000540,A leaf anatomy and morphology trait (TO:0000748) which is associated with the total area of a leaf (PO:0025034).,""
county,866,507,http://rs.tdwg.org/dwc/terms/county,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",
maximum elevation in meters,857,601,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",
conservation status,683,664,http://rs.tdwg.org/ontology/voc/SPMInfoItems#ConservationStatus,degree of conservation concern as assessed by a government agency or other recognized authority such as IUCN or CITES,""
used for,607,266,http://eol.org/schema/terms/Uses,The uses of the organism or products derived from the organism.,""
leaf nitrogen per dry mass,593,546,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_dry_mass,"The ratio of the quantity of nitrogen in the leaf or component thereof, i.e. leaf lamina or leaflet, per respective unit dry mass",""
soil ph,591,292,http://eol.org/schema/terms/SoilPH,"The soil pH, of the top 12 inches of soil, within the plant’s known geographical range. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.",""
precipitation tolerance,590,291,http://eol.org/schema/terms/PrecipitationTolerance,"Minimum tolerable rainfall (in inches), expressed as the average annual minimum precipitation that occurs 20% of the time (i.e., the probability of it being this dry in any given year is 20%) at the driest climate station within the known geographical range of the plant. geographical range of the plant. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.","Minimum precipitation tolerance: Minimum tolerable rainfall, expressed as the average annual minimum precipitation that occurs 20% of the time (i.e., the probability of it being this dry in any given year is 20%) at the driest climate station within the known geographical range of the plant.  Maximum precipitation tolerance: Maximum tolerable rainfall, expressed as the annual average precipitation of the wettest climate station within the known geographical range of the plant. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted."
population trend,586,579,http://eol.org/schema/terms/population_trend,"i.e., increasing, decreasing, stable, or unknown",""
specific leaf area,577,10,http://www.nucleodiversus.org/index.php?mod=caracter&id=17,"the one-sided area of a fresh leaf, divided by its oven-dry mass",""
optimal growth pH,568,265,http://eol.org/schema/terms/OptimalGrowthpH,"The pH of a medium (water column, soil moisture) at which the growth rate of an organism is typically optimized",
optimal rainfall,568,265,https://eol.org/schema/terms/optimal_rainfall,rainfall required for survival and growth,""
optimal growth temperature,568,265,http://eol.org/schema/terms/OptimalGrowthTemperature,Optimal temperature conditions for cell division,""
primary growth form,545,454,http://eol.org/schema/terms/PrimaryGrowthForm,The primary growth form on the landscape in relation to soil stabilization on slopes and streamsides. Each plant species is assigned the single growth form that most enhances its ability to stabilize soil.,""
number of public records in bold,521,520,http://eol.org/schema/terms/NumberPublicRecordsInBOLD,number of records in this clade in the Barcode Of Life Database (BOLD),""
leaf lamina area,472,442,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaflet_lamina_area,the area of the leaflet lamina in the one sided projection,""
island,466,315,http://rs.tdwg.org/dwc/terms/island,The name of the island on or near which the Location occurs.,
leaf mass per area,344,324,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_mass_per_area,the ratio of the dry mass of a leaf to its area,
dry mass,303,19,http://eol.org/schema/terms/dryMass,"",""
wet mass,303,19,http://eol.org/schema/terms/wetMass,"",""
rooting depth,297,275,http://purl.obolibrary.org/obo/TO_0000519,It is calculated from the deepest soil layer where roots were present and the longest root measured in the layer.,""
grain type,296,292,http://eol.org/schema/terms/GrainType,The grain crop classification of a plant.,""
fruit/seed persistence,296,292,http://eol.org/schema/terms/FruitPersistence,Are the fruit or seed generally recognized as being persistent on the plant?,""
shade tolerance,296,292,http://eol.org/schema/terms/ShadeTolerance,The relative tolerance of the plant to shade conditions,""
soil depth,296,292,http://eol.org/schema/terms/SoilDepth,The minimum depth of soil required for good growth. Plants that do not have roots such as rootless aquatic plants (floating or submerged) and epiphytes are assigned a minimum root depth value of zero.,""
frost free days,296,292,http://eol.org/schema/terms/FrostFreeDays,"The average number of frost-free days within the plant’s known geographical range. For cultivars, the geographical range is defined as the area to which the cultivar is well adapted rather than marginally adapted.",""
hedge tolerance,296,292,http://eol.org/schema/terms/HedgeTolerance,"The relative tolerance of woody perennials to hedging (close cropping) by livestock or wildlife. Herbaceous plants are scored ""None” here by default.",""
drought tolerance,296,292,http://purl.obolibrary.org/obo/TO_0000276,Becoming tolerant to drought like conditions of minimal or no water content in the growth environment,""
germination requirements,296,292,http://eol.org/schema/terms/GerminationRequirements,The environmental requirements needed for the plant to germinate.,""
anaerobic soil tolerance,296,292,http://eol.org/schema/terms/AnaerobicSoilTolerance,The relative tolerance of the plant to anaerobic soil conditions.,""
shape,296,292,http://purl.obolibrary.org/obo/PATO_0000052,"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc).","Shapes are invariant on size transformations. Shapes can be subdivided into 2D and 3D shapes, We can also make a distinction between shapes of complete self-connected objects, and shapes of parts of objects. "
resprout ability after clipping,296,292,http://eol.org/schema/terms/ResproutAbility,The ability of woody perennials to resprout following top (above ground biomass) removal.,""
grass growth type,296,292,http://eol.org/schema/terms/GrassGrowthType,The distance of the growing point (terminal meristem) of the vegetative grass tiller to the crown.,""
shedability,296,292,http://purl.obolibrary.org/obo/PATO_0001729,An organismal quality inhering in a bearer by virtue of the bearer's disposition to lose an entitity by natural process.,"e.g., leaf abscission in trees and shrubs, replacement of the first dentition in mammals"
allelopathic effect,296,292,http://purl.obolibrary.org/obo/TO_0000624,"This is an assay of any direct or indirect, harmful or beneficial effect of one plant on another through the production of chemical compounds (allelochemicals) that escape in the environment.",""
foliage texture,296,292,http://eol.org/schema/terms/FoliageTexture,"The general texture of the plant’s foliage relative to other species with the same growth habit, e.g., fine/smooth, medium, coarse/rough.",""
fire resistance,296,292,http://eol.org/schema/terms/FireResistance,The ability of an organism to resist burning.,"If a plant can carry a fire—and most can—it is scored as ""not fire resistant"" in the USDA PLANTS database where this characteristic is evaluated with reference to problem fires in California.  http://plants.usda.gov/charinfo.html"
livestock bloat potential,296,292,http://eol.org/schema/terms/BloatPotential,The relative potential of an herbaceous plant to cause bloat in livestock. ,"USDA Plants database score woody plants as ""None” by default."
active growth period,296,292,http://eol.org/schema/terms/ActiveGrowthPeriod,The growing season of a plant.  The time of year when a plant has its most active growth.,""
low temperature tolerance,295,291,http://eol.org/schema/terms/TemperatureTolerance,"The minimum tolerable temperature is the lowest temperature recorded in the plant’s historical range. If this is not available, the record low January temperature recorded at climate stations within the current geographical range of the plant is used. This definition does not apply to summer annuals.",""
primary macronutrient requirements,295,291,http://eol.org/schema/terms/PrimaryMacronutrientRequirements,"The relative level of nutrition (N, P, K) required by a plant for normal growth and development.",""
human/livestock toxicity,295,291,http://eol.org/schema/terms/HumanLivestockToxicity,The relative toxicity of an organism to either humans or livestock.,""
leaf color,295,291,http://purl.obolibrary.org/obo/TO_0000326,A vascular leaf anatomy and morphology trait (TO:0000748) which is associated with the color of leaf (PO:0025034).,""
foliage porosity winter,294,290,http://eol.org/schema/terms/FoliagePorosityWinter,Indicates the porosity (coverage) of the foliage during the winter months.  Foliage porosity is an important factor when trees or shrubs are used as windbreaks for the protection of crops and livestock shelters. Denser (or less porous) foliage allows more wind to pass through.,""
foliage porosity summer,294,290,http://eol.org/schema/terms/FoliagePorositySummer,Indicates the porosity (coverage) of the foliage during the summer months.  Foliage porosity is an important factor when trees or shrubs are used as windbreaks for the protection of crops and livestock shelters. Denser (or less porous) foliage allows more wind to pass through.,""
growth rate,293,289,http://purl.bioontology.org/ontology/SNOMEDCT/260865002,The rate of increase in the size of an organism per unit time.,Replace with GO:growth and PATO:rate once it is available through BATTO.
commercial availability,291,287,http://eol.org/schema/terms/CommercialAvailability,The availability of plant propagules in the commercial marketplace.,""
fire tolerance,291,287,http://eol.org/schema/terms/FireTolerance,"The relative ability of a plant to resprout, regrow, or reestablish from residual seed after a fire. ",""
vegetative spread rate,290,286,http://eol.org/schema/terms/VegetativeSpreadRate,The rate at which this plant can spread compared to other species with the same growth habit.,""
salt tolerance,289,285,http://purl.obolibrary.org/obo/TO_0006001,Tolerance to the high salt content in the growth medium.,"In the USDA PLANTS database, tolerance to a soil salinity level is defined as only a slight reduction (not greater than 10%) in plant growth. "
moisture use,289,285,http://eol.org/schema/terms/MoistureUse,"Ability to use (i.e., remove) available soil moisture relative to other species in the same (or similar) soil moisture availability region.",""
calcareous soil tolerance,289,285,http://eol.org/schema/terms/CalcareousSoilTolerance,The relative tolerance of the plant to calcareous soil. Calcareous soil is defined as soil containing sufficient free CaCO3 and other carbonates to effervesce visibly or audibly when treated with cold 0.1M HCl. These soils usually contain from 10 to almost 1000g/kg CaCO3 equivalent.,""
seed spread rate,288,284,http://eol.org/schema/terms/SeedSpreadRate,The capability of the plant to spread through its seed production compared to other species with the same growth habit.,""
graze animal palatability,287,284,http://eol.org/schema/terms/GrazeAnimalPalatability,The relative palatability of a plant to grazing animals.,""
seedling survival,287,283,http://eol.org/schema/terms/SeedlingSurvival,The expected seedling survival percentage of the plant compared to other species with the same growth habit.,""
bloom period,286,282,http://eol.org/schema/terms/BloomPeriod,The seasonal period in the U.S. during which the plant blooms the most. The bloom period is defined as the time when pollen is shed and stigmas are receptive.,""
fruit or seed color,282,278,http://eol.org/schema/terms/FruitSeedColor,The predominant and conspicuous color of the mature fruit or seed from a landscaping aesthetics standpoint.,""
seed period begin,281,277,http://eol.org/schema/terms/SeedPeriodBegin,Season in which the earliest fruit or seed of the fruit/seed period is visually obvious.,""
fruit/seed abundance,281,277,http://eol.org/schema/terms/SeedAbundance,The amount of seed produced by the plant compared to other species with the same growth habit.,""
seed period end,280,276,http://eol.org/schema/terms/SeedPeriodEnd,Season in which the latest fruit or seed of the fruit/seed period is visually obvious.,""
flower color,280,276,http://purl.obolibrary.org/obo/TO_0000537,A flower anatomy and morphology trait (TO:0000499) which is associated with the color of the flower (PO:0009046). ,"Refer to color (PATO:0000014): A composite chromatic quality composed of hue, saturation and intensity parts.  "
after harvest regrowth rate,272,268,http://eol.org/schema/terms/AfterHarvestRegrowthRate,Indicates the relative rate of regrowth of a herbaceous plant after a harvest of above ground herbage.,""
browse animal palatability,271,268,http://eol.org/schema/terms/BrowseAnimalPalatability,The relative palatability of the plant to browsing animals.,""
seeds per pound,267,263,http://eol.org/schema/terms/SeedPerPound,The number of seeds per pound in an average seed lot.,""
life span,263,259,http://purl.obolibrary.org/obo/PATO_0000050,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.,"
Ontology Description: http://obofoundry.org/wiki/index.php/PATO:Main_Page
Ontology Source: http://purl.obolibrary.org/obo/pato.owl"
carbon-to-nitrogen ratio,256,253,http://eol.org/schema/terms/CNRatio,The percentage of organic carbon divided by the percentage of total nitrogen in organic material. ,""
protein potential,243,241,http://eol.org/schema/terms/ProteinPotential,The relative protein content of the plant parts that are grazed or browsed by animals.,""
island group,241,198,http://rs.tdwg.org/dwc/terms/islandGroup,The name of the island group in which the Location occurs.,
planting density,222,111,http://eol.org/schema/terms/PlantingDensity,Recommended minimum number of individual plants to plant per area.,""
leaf sheddability,219,210,http://purl.obolibrary.org/obo/FLOPO_0008548,A plant's disposition to lose leaves by a natural process,""
resprout ability after fire,195,76,http://eol.org/schema/terms/RespFire,Resprouting ability one year after being ca. 100% scorched or burned by fire. ,""
post-fire seedling emergence,169,71,http://eol.org/schema/terms/PostFireSeedlingEmergence,Seedling density per pre-fire mature individuals emerging during the first year after fire (seedlings/mature).,""
longitude,150,72,http://rs.tdwg.org/dwc/terms/decimalLongitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.","Example: ""-121.1761111"""
latitude,150,72,http://rs.tdwg.org/dwc/terms/decimalLatitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.","Example: ""-41.0983423"""
planthabit,147,147,http://eol.org/schema/terms/PlantHabit,"general growth form, including size and branching. Some plants have different growth habits depending on environment or location",Auto-added during harvest #1409. A human needs to edit this.
georeference protocol,144,94,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",
parasitize,113,54,http://purl.obolibrary.org/obo/RO_0002444,"",""
are dispersed by,88,43,http://eol.org/schema/terms/HasDispersalVector,"which agent of biological dispersal moves a dispersal unit, or organism, away from its birth population to another location or population in which the individual will reproduce.",""
water depth,69,36,http://rs.tdwg.org/dwc/terms/verbatimDepth,The depth of seawater at a location where this organism has been observed or collected.,""
sexual system,67,67,http://eol.org/schema/terms/SexualSystem,"The organization of the system of organs involved with sexual reproduction, e.g., hermaphroditism, monoecy, dioecy/gonochory, gynodioecy, androdioecy, gynomonoecy, andromonoecy, polygamodioecy, polygamomonoecy, apomixis, etc.",""
invasive in,53,49,http://eol.org/schema/terms/InvasiveRange,Information about the jurisdictions where the taxon is considered to be an invasive organism due to its negative impact on human welfare or ecosystems.,""
have host,53,10,http://purl.obolibrary.org/obo/RO_0002454,"",""
stem specific density,45,45,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_specific_density,"the ratio of the mass of the stem or an unit thereof assessed after drying, to its volume assessed without drying",""
seed bank is long,37,28,http://eol.org/schema/terms/SeedBankLong,"",Auto-added during harvest #140. A human needs to edit this.
seed mass,27,23,http://purl.obolibrary.org/obo/FLOPO_0015519,"",""
verbatim coordinate system,25,21,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,The coordinate format for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location.,
threatened or endangered status,23,23,http://eol.org/schema/terms/ThreatenedEndangeredStatus,Indicates whether a taxon is listed on a global or regional list of threatened or endangered organisms.,""
visit flowers of,21,2,http://purl.obolibrary.org/obo/RO_0002622,"",""
propagule,21,14,http://eol.org/schema/terms/Propagule,The dispersal unit for sexual regeneration.,""
fruit type,21,14,http://purl.obolibrary.org/obo/TO_0000850,A fruit anatomy and morphology trait (TO:0002629) which is associated with the type of a fruit (PO:0009001). ,""
leaf shape,16,12,http://purl.obolibrary.org/obo/TO_0000492,A leaf anatomy and morphology trait (TO:0000748) which is associated with the variation in shapes and forms of a leaf (PO:0025034). ,""
leaf size class,11,9,http://purl.obolibrary.org/obo/FLOPO_0003958,"",""
bud source,9,3,http://eol.org/schema/terms/BudSource,Location of bud bank for resprouting. ,""
age at maturity,9,6,http://eol.org/schema/terms/AgeAtMaturity,Age at the first successful reproduction.,""
reproduction,9,9,http://purl.obolibrary.org/obo/GO_0000003,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms,""
ecomorphological guild,8,5,http://eol.org/schema/terms/EcomorphologicalGuild,organisms that share certain morphological traits due to adaptation to similar environments and ecological roles,""
motility,6,6,http://www.wikidata.org/entity/Q33596,"ability to move spontaneously and actively, consuming energy in the process",""
extinction status,6,6,http://eol.org/schema/terms/ExtinctionStatus,Indicates whether a taxon is extant (living today) or extinct.,""
first appearance,6,3,http://eol.org/schema/terms/FossilFirst,The first appearance of this taxon in the fossil record.,""
last appearance,6,3,http://eol.org/schema/terms/FossilLast,The last appearance of this taxon in the fossil record.,""
seed bank,5,5,http://eol.org/schema/terms/SeedBank,Location of persistent seed bank (longevity > 1 yr).,""
are pathogens of,5,3,http://purl.obolibrary.org/obo/RO_0002556,"",""
produces,4,4,http://purl.obolibrary.org/obo/RO_0003000,"This organism produces this material or substance, either during its life or after death. A produces B if some process that occurs in A has output B.",""
are mutualistic with,4,1,http://purl.obolibrary.org/obo/RO_0002442,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other,""
number of fossil occurrences,3,3,http://eol.org/schema/terms/fossilOccPBDB,The number of fossil occurrences in the Paleobiology Database (https://paleobiodb.org) that are identified as belonging to a particular taxon or any of its subtaxa.,""
prey on,3,1,http://purl.obolibrary.org/obo/RO_0002439,"An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members",""
resprout ability after disturbance,2,2,http://eol.org/schema/terms/RespDist,Resprouting ability after an undefined disturbance that removed most of the aboveground biomass.,""
toxic effect,2,2,http://eol.org/schema/terms/ToxicEffect,A toxic effect has been observed in other organisms after consuming or contacting this organism,""
visit,2,1,http://purl.obolibrary.org/obo/RO_0002618,"",""
water body,1,1,http://rs.tdwg.org/dwc/terms/waterBody,The name of the water body in which the location occurs,""
skeletal reinforcement,1,1,http://eol.org/schema/terms/SkeletalReinforcement,"The nature of structural reinforcements of shells, leaves, scutes, or carapaces. Smooth shells and carapaces lack reinforcements.",""
nitrogen fixation,1,1,http://purl.obolibrary.org/obo/GO_0009399,"The process in which nitrogen is taken from its relatively inert molecular form (N2) in the atmosphere and converted into nitrogen compounds useful for other chemical processes, such as ammonia, nitrate and nitrogen dioxide. ",""
are symbionts of,1,1,http://purl.obolibrary.org/obo/RO_0002440,The smaller partner living in close association with,""
trophic level,1,1,http://www.wikidata.org/entity/Q1053008,"position of an organism in a food web. May be described verbally with descriptors including primary producer, herbivore or carnivore. If described numerically, 1 indicates a primary producer, 2 a herbivore, and so on up the food web.",""
locomotion,1,1,http://purl.obolibrary.org/obo/GO_0040011,Self-propelled movement of a cell or organism from one location to another. ,""
eat,1,1,http://purl.obolibrary.org/obo/RO_0002470,"",""
